2025-11-11 00:38:24 [Database:INFO] - 데이터베이스 테이블 생성/확인 완료: sqlite:///athena_v1_trade_history.db
2025-11-11 00:44:17 [Main:INFO] - [KRW-IOTA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-IP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-IQ] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-JST] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-JTO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-JUP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-KAITO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-KAVA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-KERNEL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-KITE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-KNC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-LA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-LAYER] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-LINEA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-LINK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-LPT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-LSK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MANA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MASK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MBL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ME] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MED] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-META] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MEW] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MINA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MIRA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MLK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MMT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MNT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MOC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MOCA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MOODENG] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MOVE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MTL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-MVL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-NEAR] 봇 시작 명령 수신.
